catchment,network,year,mmwr_year,mmwr_week,age_category,sex,race,cumulative_rate,weekly_rate,derived_date
Tennessee,EIP,2020-21,2020,16,0-4 yr,Overall,Overall,1.8,0.9,2020-04-15
Oregon,EIP,2020-21,2020,16,0-4 yr,Overall,Overall,1,0,2020-04-15
Ohio,IHSP,2020-21,2020,16,0-4 yr,Overall,Overall,0,0,2020-04-15
New York,EIP,2020-21,2020,16,0-4 yr,Overall,Overall,2.7,0,2020-04-15
New Mexico,EIP,2020-21,2020,16,0-4 yr,Overall,Overall,1.4,0,2020-04-15
Minnesota,EIP,2020-21,2020,16,0-4 yr,Overall,Overall,0.5,0.5,2020-04-15
Michigan,IHSP,2020-21,2020,16,0-4 yr,Overall,Overall,0,0,2020-04-15
Maryland,EIP,2020-21,2020,16,0-4 yr,Overall,Overall,3,1.1,2020-04-15
California,EIP,2020-21,2020,16,0-4 yr,Overall,Overall,1,0,2020-04-15
Georgia,EIP,2020-21,2020,16,0-4 yr,Overall,Overall,0,0,2020-04-15
Connecticut,EIP,2020-21,2020,16,0-4 yr,Overall,Overall,0,0,2020-04-15
Colorado,EIP,2020-21,2020,16,0-4 yr,Overall,Overall,8.9,3,2020-04-15
Iowa,IHSP,2020-21,2020,16,0-4 yr,Overall,Overall,12.1,0,2020-04-15
Georgia,EIP,2020-21,2020,17,0-4 yr,Overall,Overall,0,0,2020-04-22
Colorado,EIP,2020-21,2020,17,0-4 yr,Overall,Overall,10.7,1.8,2020-04-22
California,EIP,2020-21,2020,17,0-4 yr,Overall,Overall,2,1,2020-04-22
Connecticut,EIP,2020-21,2020,17,0-4 yr,Overall,Overall,0,0,2020-04-22
Iowa,IHSP,2020-21,2020,17,0-4 yr,Overall,Overall,12.1,0,2020-04-22
Utah,IHSP,2020-21,2020,17,0-4 yr,Overall,Overall,0,0,2020-04-22
Tennessee,EIP,2020-21,2020,17,0-4 yr,Overall,Overall,1.8,0,2020-04-22
Maryland,EIP,2020-21,2020,17,0-4 yr,Overall,Overall,3.9,0.8,2020-04-22
Minnesota,EIP,2020-21,2020,17,0-4 yr,Overall,Overall,0.5,0,2020-04-22
Michigan,IHSP,2020-21,2020,17,0-4 yr,Overall,Overall,1.5,1.5,2020-04-22
New York,EIP,2020-21,2020,17,0-4 yr,Overall,Overall,2.7,0,2020-04-22
New Mexico,EIP,2020-21,2020,17,0-4 yr,Overall,Overall,1.4,0,2020-04-22
Oregon,EIP,2020-21,2020,17,0-4 yr,Overall,Overall,2,1,2020-04-22
Ohio,IHSP,2020-21,2020,17,0-4 yr,Overall,Overall,0,0,2020-04-22
Iowa,IHSP,2020-21,2020,18,0-4 yr,Overall,Overall,12.1,0,2020-04-29
Utah,IHSP,2020-21,2020,18,0-4 yr,Overall,Overall,0,0,2020-04-29
Minnesota,EIP,2020-21,2020,18,0-4 yr,Overall,Overall,0.5,0,2020-04-29
